11222333;PAPELARIA NOVA LTDA;2062;50;1000,00;03;
44555666;FINANCEIRA EXEMPLO SA;2038;16;5000000,00;05;
55666777;COMERCIO INFO LTDA;2062;50;1000,00;03;
66777888;COMERCIO FUTURO LTDA;2062;50;1000,00;03;
88999000;COMERCIO SEM AWARD LTDA;2062;50;1000,00;03;
10101011;SOCIO PF ALFA LTDA;2062;50;1000,00;03;
10101022;SOCIO PF BETA LTDA;2062;50;1000,00;03;
11111111;SOCIO PJ ALFA LTDA;2062;50;1000,00;03;
11111122;SOCIO PJ BETA LTDA;2062;50;1000,00;03;
20202011;ENDERECO ALFA LTDA;2062;50;1000,00;03;
20202022;ENDERECO BETA LTDA;2062;50;1000,00;03;
30303011;FONE ALFA LTDA;2062;50;1000,00;03;
30303022;FONE BETA LTDA;2062;50;1000,00;03;
40404011;MAIL ALFA LTDA;2062;50;1000,00;03;
40404022;MAIL BETA LTDA;2062;50;1000,00;03;
80808011;VAZIO ALFA LTDA;2062;50;1000,00;03;
80808022;VAZIO BETA LTDA;2062;50;1000,00;03;
90909090;LIMPO UNICO LTDA;2062;50;1000,00;03;
