11222333;0001;81;1;PAPELARIA NOVA;02;20240201;00;;;20240201;4761001;;RUA;A;1;;CENTRO;27200000;RJ;3306;;;;;;;;;;
44555666;0001;72;1;FINANCEIRA EXEMPLO;02;20100101;00;;;20100101;6412000;;AV;B;10;;CENTRO;20000000;RJ;3306;;;;;;;;;;
55666777;0001;93;1;COMERCIO INFO;02;20230917;00;;;20230917;4761001;;RUA;C;1;;CENTRO;27200000;RJ;3306;;;;;;;;;;
66777888;0001;04;1;COMERCIO FUTURO;02;20240601;00;;;20240601;4761001;;RUA;D;1;;CENTRO;27200000;RJ;3306;;;;;;;;;;
88999000;0001;26;1;COMERCIO SEM AWARD;02;20240101;00;;;20240101;4761001;;RUA;E;1;;CENTRO;27200000;RJ;3306;;;;;;;;;;
10101011;0001;91;1;SOCIO PF ALFA;02;20240101;00;;;20240101;4761001;;RUA;SOCIO PF ALFA;1;;CENTRO;27101011;RJ;3306;;;;;;;;;;
10101022;0001;72;1;SOCIO PF BETA;02;20240101;00;;;20240101;4761001;;RUA;SOCIO PF BETA;2;;CENTRO;27101022;RJ;3306;;;;;;;;;;
11111111;0001;91;1;SOCIO PJ ALFA;02;20240101;00;;;20240101;4761001;;RUA;SOCIO PJ ALFA;1;;CENTRO;27111111;RJ;3306;;;;;;;;;;
11111122;0001;72;1;SOCIO PJ BETA;02;20240101;00;;;20240101;4761001;;RUA;SOCIO PJ BETA;2;;CENTRO;27111122;RJ;3306;;;;;;;;;;
20202011;0001;91;1;ENDERECO ALFA;02;20240101;00;;;20240101;4761001;;RUA;DAS FLORES;100;;CENTRO;27215100;RJ;3306;;;;;;;;;;
20202022;0001;72;1;ENDERECO BETA;02;20240101;00;;;20240101;4761001;;RUA;das Flôres;100;;CENTRO;27215-100;RJ;3306;;;;;;;;;;
30303011;0001;91;1;FONE ALFA;02;20240101;00;;;20240101;4761001;;RUA;FONE ALFA;10;;CENTRO;27303011;RJ;3306;21;33334444;;;;;;;;
30303022;0001;72;1;FONE BETA;02;20240101;00;;;20240101;4761001;;RUA;FONE BETA;20;;CENTRO;27303022;RJ;3306;21;3333-4444;;;;;;;;
40404011;0001;91;1;MAIL ALFA;02;20240101;00;;;20240101;4761001;;RUA;MAIL ALFA;10;;CENTRO;27404011;RJ;3306;;;;;;;contato@planted.example;;
40404022;0001;72;1;MAIL BETA;02;20240101;00;;;20240101;4761001;;RUA;MAIL BETA;20;;CENTRO;27404022;RJ;3306;;;;;;;Contato@PLANTED.example;;
80808011;0001;91;1;VAZIO ALFA;02;20240101;00;;;20240101;4761001;;;;;;;;;;;;;;;;
80808022;0001;72;1;VAZIO BETA;02;20240101;00;;;20240101;4761001;;;;;;;;;;;;;;;;
90909090;0001;91;1;LIMPO UNICO;02;20240101;00;;;20240101;4761001;;RUA;LIMPA UNICA;999;;CENTRO;27999999;RJ;3306;24;988887777;;;;;;limpo.unico@example.com;;
99001122;0001;08;1;B5 FINANCE ALIMENTOS;02;20100101;00;;;20100101;6412000;;RUA;B5 FINANCE;1;;CENTRO;27110008;RJ;3306;;;;;;;;;;
99002233;0001;19;1;B5 DOMESTICO MATERIAIS;02;20100101;00;;;20100101;9700500;;RUA;B5 DOMESTICO;2;;CENTRO;27110019;RJ;3306;;;;;;;;;;
99003344;0001;20;1;B5 SOFTWARE ALIMENTOS;02;20100101;00;;;20100101;6201501;;RUA;B5 SOFTWARE;3;;CENTRO;27110020;RJ;3306;;;;;;;;;;
99004455;0001;31;1;B5 BENEFICIAMENTO ARROZ;02;20100101;00;;;20100101;1061901;;RUA;B5 ARROZ;4;;CENTRO;27110031;RJ;3306;;;;;;;;;;
99005566;0001;42;1;B5 SECUNDARIA ALIMENTOS;02;20100101;00;;;20100101;6201501;1061901;RUA;B5 SECUNDARIA;5;;CENTRO;27110042;RJ;3306;;;;;;;;;;
99007788;0001;64;1;B5 SEM CNAE;02;20100101;00;;;20100101;;;RUA;B5 SEM CNAE;6;;CENTRO;27110064;RJ;3306;;;;;;;;;;
